,seed,val_acc,test_acc
0,0,0.98,1.0
1,1,0.93,0.97
2,2,0.53,0.47
3,3,0.91,0.96
4,4,0.51,0.49
5,5,0.51,0.49
6,6,1.0,0.99
7,7,0.96,0.97
8,8,1.0,1.0
9,9,1.0,0.98
