,seed,val_acc,test_acc
0,0,1.0,1.0
1,1,0.52,0.47
2,2,1.0,1.0
3,3,1.0,1.0
4,4,1.0,1.0
5,5,0.48,0.55
6,6,1.0,1.0
7,7,0.54,0.48
8,8,0.56,0.44
9,9,0.52,0.47
