,seed,val_acc,test_acc
0,0,1.0,1.0
1,1,1.0,1.0
2,2,0.53,0.47
3,3,0.49,0.52
4,4,1.0,1.0
5,5,1.0,1.0
6,6,1.0,1.0
7,7,0.46,0.55
8,8,1.0,1.0
9,9,1.0,1.0
